              T              E              M            |M|             Cv              X              A
            2.2      -1.548322    0.098386793     0.78993351      1.3353276        3.04248     0.14969204
           2.22     -1.5211514     0.04587698     0.76651909      1.4224305      3.8206011      0.1598288
           2.24     -1.4892496   -0.012716763     0.73609765       1.538849      4.9036548     0.17166428
           2.26     -1.4596252   0.0010953889     0.70807658      1.5843942      5.6890718     0.18285386
           2.28     -1.4270313   -0.049221298      0.6741549      1.6411919      6.6842505     0.19519942
            2.3     -1.3949622    0.012465788     0.63851661      1.6720331      7.5905571     0.20740632
           2.32     -1.3605166    0.027373712     0.60041796       1.660626      8.2133848      0.2206955
           2.34     -1.3267636   -0.012766338     0.56035886      1.6198384      8.7311402     0.23379255
           2.36     -1.2962766  -0.0048867929     0.52392268       1.567665      9.0602103     0.24573788
           2.38     -1.2633628  -0.0037891818     0.48327967      1.4846074      9.0543997     0.25864542
            2.4      -1.237009 -0.00028340404     0.45227308      1.4014481      8.9071633     0.26930413
