              T              E              M            |M|             Cv              X              A
            2.2     -1.5465079     0.78392558     0.78392558      1.4354635      7.6493271    0.043169723
           2.22     -1.5156192     0.74012435     0.74062354      1.8225602      153.14771   -0.052832436
           2.24     -1.4823127     0.70569669     0.70569669      1.8857739      25.351512   -0.040478861
           2.26     -1.4412916    -0.61005582     0.61238555      2.4535541      185.79199   -0.025182774
           2.28     -1.3838757   -0.038379358     0.29859329      2.5539345      523.35066  -0.0038605069
            2.3     -1.3431854    0.038406344     0.17653246      1.9211712      256.92927    0.011623288
           2.32     -1.3092224   0.0087900922     0.11489997      1.5828544       124.5367    0.024792554
           2.34      -1.278964   0.0058961186    0.082795746      1.4089171        64.0197    0.036679381
           2.36     -1.2523827  0.00047082384    0.069580871      1.2865091      46.277528    0.047307228
           2.38     -1.2272986  -0.0011012076    0.057214842      1.1929811      32.413568   -0.049936847
            2.4     -1.2038672 -0.00085778182      0.0508528      1.1231982      24.421723   -0.040340893
