              T              E              M            |M|             Cv              X              A
            2.2     -1.5464713     0.78455046     0.78455046      1.4307379      5.2904065    0.017983306
           2.22     -1.5167737     -0.7542329      0.7542329      1.5824136      8.3496783    0.028864859
           2.24     -1.4820316    -0.70420431     0.70420431       1.909127      29.496477    0.041831358
           2.26     -1.4416766    -0.62106708     0.62106708      2.3432131      104.12454    0.056869092
           2.28     -1.3901897    0.021355067     0.41540922       2.689081      395.79153   -0.056510056
            2.3     -1.3431898   -0.014099627     0.18505252      1.8349083      239.30002   -0.038738109
           2.32     -1.3091126  -0.0062785188     0.12732978      1.5935011      115.55656   -0.025532254
           2.34     -1.2793486   0.0032847921    0.095658967      1.4275862      69.039288   -0.013823965
           2.36     -1.2521505   0.0040679672    0.073206321      1.2978037      41.665346  -0.0029802135
           2.38     -1.2272865  -0.0046564935    0.064519769      1.2078768      32.384593   0.0070630174
            2.4     -1.2040271  -0.0026962568    0.055175717      1.1225559      24.090798    0.016593721
