              T              E              M            |M|             Cv              X              A
            2.2     -1.5468806    -0.78543996     0.78543996      1.4086481      4.8241173     0.15033982
           2.22     -1.5172672    -0.75552112     0.75552112      1.5790531      8.4116272     0.16140607
           2.24     -1.4830234    -0.71023473     0.71023473      1.7969485      16.822258     0.17399696
           2.26     -1.4409026    -0.29796509     0.61869208      2.2704752       78.58182     0.18965143
           2.28     -1.3936035     0.16492298     0.47634723      2.4602988       148.5691     0.20739244
            2.3      -1.347569  -0.0098392782      0.3288283      2.0478607      138.97742    -0.20472345
           2.32     -1.3109224   0.0099753008     0.22804644      1.6411738      94.417873    -0.19060222
           2.34     -1.2799316  -0.0077540333     0.17424756      1.4527339      63.817674      -0.178431
           2.36     -1.2521388    0.011164622     0.13738765      1.3057826      42.069961    -0.16735731
           2.38     -1.2274256  -0.0014089471     0.11679278      1.2153115      30.804315    -0.15735925
            2.4     -1.2042963 -0.00048747394     0.10342473      1.1259712      24.037398    -0.14786678
