              T              E              M            |M|             Cv              X              A
            2.2      -1.546746    -0.78565546     0.78565546      1.4069546      4.4822014    -0.14785861
           2.22     -1.5167067      0.7543663      0.7543663      1.5678891      7.9156726    -0.13678935
           2.24     -1.4826101      0.7081466      0.7081466      1.8371919      19.364356    -0.12417448
           2.26     -1.4410806    -0.37310164     0.61882614      2.3187339       86.63767    -0.10869526
           2.28     -1.3905002   -0.076670093     0.44324407      2.5529686      206.83159   -0.089817966
            2.3     -1.3454347     0.03435776      0.2805411      2.0407611      179.43575   -0.072707911
           2.32     -1.3092691    0.002153764     0.18716421      1.6096424      100.40615   -0.058757966
           2.34     -1.2793817  -0.0067089393     0.14163977       1.423325      65.850439   -0.046982783
           2.36     -1.2523079   0.0020937845     0.11436676      1.2977721      42.328738   -0.036184493
           2.38     -1.2270349   0.0045832089    0.097213729      1.1901983      30.417526   -0.025977361
            2.4     -1.2040507 -0.00018744557    0.084564189      1.1217276       24.25323    -0.01654537
