              T              E              M            |M|             Cv              X              A
            2.2     -1.5462101    -0.78384017     0.78384017      1.4124503      5.2983537      0.1505023
           2.22     -1.5159929    -0.75079191     0.75079805      1.6250989      11.742203      0.1617522
           2.24      -1.481936    -0.34759584     0.70682417      1.8216833      18.664448     0.17434489
           2.26     -1.4442144     -0.2803046     0.64381905      2.1207155      38.559605     0.18853363
           2.28     -1.3965648    -0.15410719     0.51676625      2.3813798      90.313067     0.20630723
            2.3     -1.3502873   -0.032309943     0.37625664      2.1078425      104.04173     0.22383089
           2.32      -1.313039    -0.02999258     0.28207658      1.7498439      81.432792     0.23808898
           2.34     -1.2811485    0.010034983     0.22072538      1.5151161      59.524653     0.25061667
           2.36     -1.2525825  -0.0041500979     0.17213999      1.3219295      39.540431     0.26197379
           2.38     -1.2269903  -0.0003359637     0.14157826      1.2088534      28.490731     0.27230403
            2.4     -1.2040389  -0.0083607254     0.12565753      1.1290524      22.938425     0.28170756
