              T              E              M            |M|             Cv              X              A
           2.25     -1.4613933    -0.66033066     0.66033612      2.1417711      66.909719   -0.037104597
          2.255     -1.4523813     0.64729908     0.64729908      2.1485062      62.799847   -0.033686553
           2.26     -1.4395526     0.58467806     0.60274559      2.4332133      132.58316   -0.028914263
          2.265     -1.4303654    -0.59559464     0.59562104      2.3209575      95.644474   -0.025466813
           2.27     -1.4169966    -0.42649059     0.53582608       2.593964       211.9555   -0.020452659
          2.275     -1.4009063     0.16149275     0.45333233      2.6573407      294.96497   -0.014539058
           2.28     -1.3913305   -0.080736727     0.43671234      2.6586241         274.79   -0.010912025
          2.285     -1.3762579    0.076305536      0.3571973      2.4713579      287.73658   -0.005258798
           2.29      -1.366495    0.080614297     0.33486733      2.3922338      269.10749  -0.0015749378
          2.295     -1.3544888   -0.015045111     0.27746669      2.1621084      239.69566   0.0029319145
            2.3     -1.3436122   -0.035007413     0.22825643      1.9099117      193.72868   0.0071163365
