              T              E              M            |M|             Cv              X              A
            2.2     -1.5465138     0.78483558     0.78483558      1.4203352      4.7508367     0.15037722
           2.22     -1.5170655     0.75452531     0.75452531      1.5587318      8.4360263     0.16127627
           2.24     -1.4826809     -0.3459751     0.70920841      1.7988964      17.898828     0.17412384
           2.26     -1.4419076  -0.0010785988     0.63092952      2.1875533      47.310176     0.18927714
           2.28     -1.3946803     0.15415059     0.50051058      2.3727367      97.397955     0.20691351
            2.3     -1.3497351   0.0041809448     0.36980494      2.0946521      104.32685     0.22401136
           2.32     -1.3118557    0.021659265     0.27422978       1.695439      77.107399     0.23856434
           2.34     -1.2800416    0.022484825     0.20782994      1.4846613      56.930734     0.25104843
           2.36     -1.2521438   0.0092278911     0.16935783      1.3155101      40.031252     0.26215188
           2.38     -1.2277384   -0.012675264     0.14766165      1.2065559      30.944846     0.27202907
