              T              E              M            |M|             Cv              X              A
            2.2     -1.5463742    -0.78458519     0.78458519       1.404492      4.6259786   -0.068601449
           2.22     -1.5155378     0.74289041     0.74289188      1.7847947      53.312347   -0.057154006
           2.24     -1.4822776    -0.70615129     0.70615129      1.8417823      22.487821   -0.044798928
           2.26     -1.4400283     0.32755204     0.60996784      2.3843323      107.69276   -0.029106837
           2.28      -1.392192    0.022952191     0.44623207      2.5747517      257.71274   -0.011181939
            2.3     -1.3447324    0.013278592     0.24538239       1.968495      207.38461   0.0066502149
           2.32     -1.3092784   -0.019453713     0.15902128      1.5911424      103.29821    0.020379353
           2.34     -1.2792542   0.0074023717     0.11742305      1.4238297       62.07437    0.032205394
           2.36     -1.2525207 -0.00037864244      0.0973868      1.2981838      42.984568    0.042869626
           2.38     -1.2271541  0.00014134385     0.08290775      1.2081273      30.200907     0.05311769
            2.4     -1.2039793  -0.0003982281    0.073027821      1.1229836      24.028257      0.0626055
