              T              E              M            |M|             Cv              X              A
            2.2     -1.5460943     0.78333143     0.78333143      1.4206073      5.3471963     0.15054018
           2.22     -1.5167934    -0.75414629     0.75414629      1.5510538      7.9524987     0.16136156
           2.24     -1.4829907     0.63133665     0.71132768      1.7578008       14.97005      0.1739982
           2.26     -1.4425207   -0.041290924     0.63661214       2.126758      36.349298     0.18903745
           2.28     -1.4012835    -0.15084159     0.55219715       2.199037      53.230521     0.20452073
            2.3      -1.356473    0.015627365     0.44704994       2.128945      62.587614     0.22153011
           2.32     -1.3168368    0.030114186     0.34917499      1.8363735      57.825025     0.23674477
           2.34     -1.2826955    0.022793379     0.27727641      1.5687907      46.361668     0.24999272
           2.36     -1.2541745  -0.0024424343     0.23022241      1.3643992      35.950501     0.26136109
           2.38     -1.2278807  -0.0066809422     0.19248183       1.235143      27.729326     0.27197248
            2.4     -1.2044495   0.0088873552     0.16947004      1.1403231      22.022711      0.2815743
