              T              E              M            |M|             Cv              X              A
           1.66        -1.9058  -0.0077944444     0.96882778     0.26175985    0.053702713        0.04774
           1.67     -1.9021111   -0.023561111     0.96713889     0.26768975    0.056927831      0.0486975
           1.68     -1.9062222    0.019116667     0.96857222      0.2538504    0.054123189       0.046945
           1.69     -1.8999556    0.029661111     0.96656111     0.26658263    0.056912969        0.05023
            1.7        -1.8982    0.040411111     0.96587778     0.26868602    0.057940148       0.050565
           1.71     -1.8946889  -0.0091388889     0.96489444     0.27355595    0.058774113      0.0527675
           1.72     -1.8920889   -0.040783333     0.96372778     0.27714631    0.060848562      0.0543375
           1.73        -1.8866        0.05105     0.96248333     0.28688102      0.0614149       0.056325
           1.74     -1.8855333   -0.014133333     0.96207778     0.28585553    0.061751506      0.0567875
           1.75     -1.8856222    0.011344444         0.9621     0.28262451    0.061402491      0.0566675
           1.76     -1.8790889    0.023561111     0.95986111     0.29476936    0.064627481      0.0597725
           1.77     -1.8740222   -0.052788889     0.95817778      0.3025619    0.066769144      0.0620925
           1.78     -1.8701333    0.035538889     0.95672778     0.30739831    0.068782181       0.064165
           1.79     -1.8682667  -0.0092111111     0.95624444     0.30846824    0.068930866        0.06562
            1.8     -1.8688667  -0.0052166667     0.95627222     0.30365383    0.068781712        0.06512
           1.81     -1.8602667   0.0076666667     0.95365556     0.31846421    0.071803495       0.069445
           1.82     -1.8577333        -0.0247     0.95228889     0.32044463    0.074264432       0.071575
           1.83     -1.8614889  -0.0083888889     0.95366667     0.30955863    0.071713175      0.0698025
           1.84        -1.8568  -0.0024722222     0.95211667     0.31551195    0.073487845      0.0725325
           1.85     -1.8527333  -0.0086944444     0.95099444     0.32002763    0.074272937      0.0737575
           1.86     -1.8474444   -0.016944444     0.94962222     0.32709513     0.07517532       0.075815
           1.87     -1.8501556    0.022211111     0.94998889     0.31874832    0.075172905      0.0766875
           1.88     -1.8450889    0.032194444     0.94841667     0.32548953    0.076803177       0.077095
           1.89     -1.8411778        -0.0104         0.9474      0.3288423    0.077260238        0.07915
            1.9     -1.8388889   0.0018666667         0.9463     0.32974932    0.078888138      0.0810625
           1.91     -1.8287778  -0.0010388889     0.94313889     0.34528129    0.082437772      0.0854525
           1.92     -1.8290667   -0.022377778     0.94338889     0.34136721     0.08145987      0.0845475
           1.93     -1.8245556   -0.029655556     0.94152222     0.34556313    0.084023753        0.08838
           1.94     -1.8195333    0.017416667     0.93992778     0.35106884    0.085577767      0.0901775
           1.95     -1.8146222   0.0086611111     0.93846111     0.35638726    0.086824316      0.0930425
           1.96         -1.814    0.028583333     0.93802778     0.35325975     0.08721315       0.092065
           1.97     -1.8073556    0.029705556     0.93537222      0.3614274    0.090881952      0.0965225
           1.98     -1.8070222   -0.010405556     0.93569444     0.35770003    0.089283538        0.09613
           1.99     -1.8043778    0.014633333     0.93511111     0.35949569    0.089247323        0.09836
              2     -1.8001333  -0.0070666667     0.93302222     0.36263109     0.09238351      0.1002175
           2.01     -1.7979333   0.0021388889     0.93280556     0.36207262    0.091362998       0.100935
           2.02     -1.7914222   -0.010066667     0.93083333     0.36925114    0.093089934      0.1038025
           2.03     -1.7944889   -0.025288889     0.93132222     0.36124651    0.092873621      0.1026525
           2.04     -1.7881778  0.00047777778     0.92972222     0.36688689    0.093540154      0.1059575
           2.05     -1.7817778  -0.0084555556     0.92714444     0.37194914     0.09666745        0.10855
           2.06     -1.7774222   -0.018611111     0.92562222     0.37592109    0.098233337       0.111605
           2.07     -1.7763111       -0.00565     0.92507222     0.37465617     0.09875415      0.1124125
           2.08     -1.7770444   -0.013744444     0.92593333     0.36861207    0.096213068        0.11223
           2.09     -1.7633778    0.023538889        0.92075     0.38518545     0.10267941      0.1177875
            2.1     -1.7577778    0.011883333     0.91917222     0.38852664     0.10345541      0.1216125
           2.11          -1.76    0.013988889     0.92041111     0.38302025     0.10103012       0.120675
           2.12     -1.7561333   -0.011261111     0.91846111     0.38471198     0.10366618      0.1218125
           2.13     -1.7576222    0.014544444     0.91933333     0.37927779     0.10170809      0.1223925
           2.14     -1.7488889    0.011288889     0.91681111     0.38769896     0.10351329      0.1256825
           2.15     -1.7465333   0.0088111111     0.91561111     0.38684135     0.10486959        0.12665
           2.16     -1.7392222       -0.00905     0.91367222     0.39174236     0.10565898      0.1297925
           2.17     -1.7352444    0.012616667     0.91209444     0.39380185     0.10728695        0.13205
           2.18     -1.7264667        -0.0231         0.9095      0.4009217     0.10904949      0.1360325
           2.19     -1.7244889    0.012238889        0.90825     0.39981028     0.11067731        0.13658
            2.2     -1.7192667    0.015705556     0.90700556     0.40366383     0.11094814        0.13939
           2.21     -1.7201111  -0.0013611111     0.90678333      0.3977132     0.11117564      0.1397825
           2.22     -1.7166222    0.020061111        0.90555     0.39943307     0.11218975       0.141605
           2.23     -1.7115778    0.039655556     0.90361111     0.40115324     0.11390785         0.1435
           2.24     -1.7057556  -0.0049833333     0.90196111     0.40415797      0.1146469      0.1468175
           2.25     -1.6993556   0.0024611111     0.89972778     0.40859183      0.1165895      0.1495825
           2.26        -1.7028    0.015561111     0.90091667     0.40071436     0.11479202        0.14893
           2.27     -1.6952889  -0.0084111111     0.89852222     0.40527429     0.11645039        0.15228
           2.28     -1.6951556   0.0016555556     0.89876667     0.40166451     0.11529558      0.1528225
           2.29     -1.6800444  -0.0079611111     0.89356111     0.41428619     0.11998289       0.157545
            2.3     -1.6893111    0.021644444     0.89714444     0.40109655     0.11544669      0.1560325
           2.31     -1.6809556  -0.0029388889     0.89341667     0.40688025      0.1197566       0.160925
           2.32     -1.6828444   0.0025333333     0.89444444     0.40133366      0.1177533      0.1605275
           2.33     -1.6810222   0.0078833333     0.89357222     0.40031671     0.11848033       0.160565
           2.34     -1.6709778   -0.018883333     0.88981667     0.40721255     0.12197753      0.1639225
           2.35         -1.668    0.019172222     0.88971667     0.40696416     0.12045641      0.1675225
           2.36     -1.6562667    0.023277778     0.88546667     0.41512868     0.12422581      0.1697575
           2.37     -1.6598222    0.038811111     0.88763333     0.40861699     0.12059327      0.1709075
           2.38     -1.6538444  -0.0066333333     0.88493333     0.40922934     0.12312548         0.1721
           2.39     -1.6521111    0.017294444     0.88360556     0.40801961     0.12479702      0.1751575
            2.4          -1.64   -0.018344444     0.88146667     0.41691358     0.12395345        0.17835
           2.41     -1.6455333    0.021772222     0.88263889     0.40697038     0.12303593      0.1783275
           2.42     -1.6376444   -0.011061111     0.87989444     0.41247077     0.12528869        0.18255
           2.43     -1.6330889    0.042916667     0.87836111     0.41204093     0.12592791        0.18348
           2.44     -1.6272222   0.0039055556     0.87676111      0.4144742     0.12642706      0.1852125
           2.45     -1.6225556        -0.0039     0.87472222     0.41415493     0.12804523      0.1885175
           2.46     -1.6155111  -0.0074055556     0.87190556     0.41673568     0.13039771       0.192375
           2.47     -1.6233778   -0.019772222     0.87469444     0.40715314     0.12745149      0.1895175
           2.48     -1.6099778    0.030888889     0.86962222     0.41502948     0.13177683      0.1955075
           2.49     -1.6067333   -0.027633333     0.86912222     0.41407733     0.13091282      0.1965675
            2.5     -1.6088222  -0.0016833333     0.86971667     0.40914628     0.13004645       0.195275
           2.51     -1.6050444   -0.028322222     0.86812222     0.40891704     0.13118624       0.198505
           2.52     -1.5890667   0.0061833333     0.86343889     0.41847962     0.13360398        0.20528
           2.53     -1.5917778         0.0063     0.86483333     0.41251085     0.13133417        0.20447
           2.54     -1.5829778    0.019733333     0.86103333      0.4166155     0.13483716      0.2076175
           2.55     -1.5760444   0.0099111111     0.85965556     0.41840695     0.13424504      0.2101725
           2.56     -1.5742889   -0.016572222     0.85819444     0.41708241     0.13592807      0.2129775
           2.57     -1.5857111   -0.015077778     0.86265556     0.40603407     0.13140139      0.2084425
           2.58     -1.5739333 -0.00072222222     0.85845556     0.41008518     0.13411482      0.2130725
           2.59     -1.5649556   0.0080722222     0.85578333     0.41376359     0.13526194      0.2163125
            2.6     -1.5564222  -0.0040888889     0.85282222      0.4163017     0.13697407      0.2217725
           2.61        -1.5538   -0.020994444     0.85237222     0.41534916     0.13636089        0.22256
           2.62     -1.5476889    0.020683333     0.84930556     0.41693581     0.13926983      0.2251525
           2.63     -1.5499111   0.0023888889     0.85191111     0.41215509     0.13479123       0.224785
           2.64     -1.5391111  0.00087777778     0.84607778     0.41553368     0.14073595         0.2306
           2.65     -1.5402889   0.0055777778     0.84767778     0.41127432      0.1376992       0.228045
           2.66     -1.5385111   -0.022761111     0.84669444     0.40967406     0.13834614      0.2306175
           2.67     -1.5321333   -0.025822222     0.84472222     0.41039257      0.1389512        0.23464
           2.68     -1.5243556   0.0035166667     0.84326111     0.41290199     0.13828711      0.2372225
           2.69     -1.5249333        0.00435     0.84273889     0.40827425     0.13870227       0.236665
            2.7     -1.5229111    0.010855556     0.84111111     0.40607686     0.14023685      0.2384325
           2.71     -1.5166444    0.012277778     0.83952222      0.4087639      0.1405366      0.2411425
           2.72     -1.5185111    0.019377778         0.8405     0.40457493     0.13898493        0.24229
           2.73     -1.5084667       -0.00165     0.83669444     0.40619862     0.14119767        0.24667
           2.74     -1.5052889   -0.033805556     0.83642778     0.40590266     0.14014147       0.247305
           2.75     -1.4950889  -0.0088944444     0.83219444      0.4090113     0.14323178      0.2519975
           2.76     -1.4981778    0.016244444     0.83366667     0.40565533     0.14155378      0.2504975
           2.77        -1.4882   0.0036111111     0.83021111     0.40688929     0.14307992      0.2547575
           2.78     -1.4889778   0.0094611111     0.83039444     0.40274581     0.14239498       0.254655
           2.79     -1.4856667    0.014672222     0.82900556     0.40188767     0.14307019         0.2573
            2.8     -1.4793556       -0.00565     0.82738333     0.40244695     0.14304069      0.2604275
           2.81     -1.4735556   0.0031666667     0.82556667     0.40216232     0.14340959      0.2631425
           2.82     -1.4733778   0.0083055556     0.82518333     0.40060702     0.14367647      0.2643575
           2.83         -1.464         0.0023     0.82193333     0.40181609      0.1450617      0.2677375
           2.84        -1.4538   0.0013055556     0.81888333     0.40486841     0.14607915      0.2715675
           2.85     -1.4589111        -0.0064     0.82066667     0.39859678     0.14430503      0.2710375
           2.86     -1.4567111   0.0054777778     0.81987778      0.3958865     0.14412647      0.2711575
           2.87     -1.4574889  -0.0012611111     0.81933889     0.39477286      0.1451071       0.272205
           2.88     -1.4438889   -0.016316667        0.81525     0.39867669     0.14645555        0.27782
           2.89     -1.4429556       -0.00425     0.81457222     0.39568031     0.14657037        0.27772
            2.9     -1.4368667    0.010905556     0.81292778     0.39516595     0.14646143      0.2798075
           2.91     -1.4338222        -0.0202     0.81294444     0.39412669      0.1449625       0.282015
           2.92     -1.4327333  -0.0097166667     0.81293889     0.39249999     0.14421587       0.282245
           2.93     -1.4220222   -0.013088889     0.80837778     0.39500235     0.14721704        0.28832
           2.94     -1.4224889    0.012783333     0.80881667     0.39246653     0.14626839        0.28847
           2.95     -1.4225556   -0.019911111     0.80857778     0.38986607     0.14617217      0.2892175
           2.96     -1.4200444   0.0070611111     0.80803889     0.38856749     0.14571072       0.290165
           2.97        -1.4104    0.017561111        0.80395     0.38882133      0.1479543        0.29509
           2.98     -1.4034889   0.0030055556     0.80272778     0.38758867     0.14673796        0.29765
           2.99          -1.41    0.023916667     0.80471667     0.38271011     0.14549309        0.29579
              3     -1.4012889  -0.0018388889     0.80140556     0.38456815     0.14722477       0.299885
           3.01     -1.3956444  -0.0091722222     0.80021667     0.38404233     0.14660828      0.3014675
           3.02     -1.3940222  -0.0047666667     0.79887778     0.38276676     0.14766721        0.30352
           3.03        -1.3916  -0.0013055556        0.79885     0.38111223     0.14642803       0.304575
           3.04     -1.3860444  -0.0035055556     0.79556111     0.38005575     0.14877451       0.307575
