              T              E              M            |M|             Cv              X              A
          2.266     -1.4264658    0.067220531     0.58058346      2.3862474       97.33358     0.19502472
          2.267      -1.425715      0.2764961      0.5868052      2.2815625      82.732197     0.19529676
          2.268     -1.4245737    -0.21491221     0.58700779      2.3732897      81.302868     0.19578183
          2.269      -1.423159    0.069506726     0.58634653      2.3382757      80.583596     0.19638474
           2.27     -1.4191146   -0.029137829     0.56786062      2.4259106      98.220268     0.19791748
          2.271     -1.4159801    -0.34655078      0.5511058      2.4901067      115.47513     0.19902134
          2.272     -1.4138232    0.054807019        0.54917      2.4149219       110.1288      0.1997548
          2.273     -1.4104458    -0.17044425     0.53679818      2.3718454      116.38261     0.20099385
          2.274     -1.4077636   -0.051108707     0.52927038      2.4528702      117.31879     0.20204605
          2.275     -1.4084165     0.13869342        0.53941      2.4681056      109.84183     0.20188242
          2.276     -1.4039974     0.10556429     0.51522924      2.4739258      132.36593     0.20340678
          2.277     -1.4003794     0.13604313     0.49752759      2.5134884      147.24174     0.20478241
          2.278     -1.3992313    -0.27690938     0.50223363      2.4564225      134.62414     0.20520019
          2.279     -1.3974588    -0.16455528     0.49698247      2.4957155      138.40767     0.20598115
           2.28     -1.3960881    0.054652761     0.50347079      2.4014651       120.5806     0.20645088
          2.281     -1.3934683     0.10419936     0.49083248      2.4408077        133.724     0.20743382
          2.282     -1.3890851     0.14368268     0.46764405      2.4029661      143.18324      0.2090906
          2.283     -1.3873547    -0.13234605      0.4699726      2.4210561      138.80343     0.20978003
          2.284     -1.3816569   0.0040548802     0.42854862      2.4046043      159.31861     0.21192034
          2.285     -1.3837377   -0.081453027     0.45535712      2.4622889      151.41193     0.21110793
          2.286     -1.3776792    0.036764932      0.4158201      2.3608059      158.50145     0.21335724
          2.287     -1.3791172   -0.041953499     0.44764199      2.3436524       138.3547     0.21285333
          2.288     -1.3743804    0.031168132     0.41916069      2.3592918      147.46653     0.21463558
          2.289      -1.372258   -0.028823493     0.41447187      2.3341866      146.31257    -0.21403957
           2.29     -1.3687022   0.0090587917     0.38795747      2.3314856      160.44063    -0.21275076
          2.291     -1.3692426   -0.022715365     0.40879049      2.3442802       152.5105    -0.21291322
          2.292     -1.3643978    0.034824361     0.37918368      2.2575666      152.52768    -0.21118701
          2.293     -1.3609925    0.025059052       0.362478      2.2321145      153.70438    -0.20983636
          2.294     -1.3587038   -0.048045725     0.35263428      2.2195352      153.44388    -0.20898636
          2.295     -1.3577665   -0.041733311      0.3529506      2.1555865      151.23488    -0.20862679
          2.296     -1.3570684   -0.046527576     0.36115541      2.1878694      150.59208    -0.20828802
          2.297     -1.3562372  -0.0091126964     0.36795729      2.2223057      147.02997     -0.2079924
          2.298     -1.3515976   0.0090949636     0.33963058      2.1495458      146.21001    -0.20624821
          2.299     -1.3511301   -0.053877717     0.34718204      2.1622136      140.90325    -0.20604765
            2.3     -1.3476955    -0.02767055     0.32558528      2.0902941      143.01657    -0.20480898
          2.301     -1.3464586   -0.039446082     0.32712066      2.0491254      143.77043    -0.20422646
          2.302     -1.3443067    0.037995863     0.32782112      2.0636797      137.34911    -0.20346132
          2.303     -1.3421904    0.002694279     0.31722648      2.0372189      134.93686    -0.20263219
          2.304     -1.3402814    0.011715466      0.3188159      1.9883026      123.05292    -0.20188508
          2.305      -1.335474    0.011078996     0.27654233      1.9234847      125.27782    -0.20011635
          2.306     -1.3363285   -0.016287741     0.29644581      1.9590441      132.43676    -0.20041777
