              T              E              M            |M|             Cv              X              A
            2.2     -1.5479609     -0.7884975     0.78849879      1.3806787      3.8284328     0.14987755
           2.22     -1.5162509      0.2925588     0.75341471      1.5705896      7.7155324     0.16151538
           2.24     -1.4832694     0.24702681     0.71327202      1.7507322      12.042999     0.17388209
           2.26     -1.4465782    -0.12688734     0.65965632      1.9171142       18.76786     0.18747736
           2.28     -1.4069612  -0.0098822197     0.59684382       1.993026      24.369445     0.20246715
            2.3     -1.3676299   -0.046277405     0.52688575      2.0075792      29.671359      0.2174662
           2.32     -1.3293177    0.041930194     0.45906497      1.8675275      30.342676     0.23207954
           2.34     -1.2934922   -0.017583181     0.39108134      1.6920338       29.60344     0.24604052
           2.36     -1.2620803    0.025098299     0.33846853      1.5047325      26.291993      0.2584281
           2.38     -1.2335986  0.00044308333     0.29132915      1.3373722      22.661613     0.26980642
