              T              E              M            |M|             Cv              X              A
            2.2     -1.5469587    -0.78606054     0.78606054      1.4019998      4.3101844     0.15022714
           2.22     -1.5167724     0.75386319     0.75386319      1.5724619       8.407084     0.16140768
           2.24     -1.4827363    -0.70856653     0.70856653      1.8366221      19.526076     0.17408207
           2.26     -1.4427461    0.036392957     0.63023512      2.1631751      61.075467     0.18900528
           2.28     -1.3953928    -0.20216343     0.49370775      2.4640736      135.99017     0.20670254
            2.3     -1.3489764    0.018983679     0.33381082      2.0881106      147.70568     -0.2052185
           2.32     -1.3103005   -0.006834777      0.2231723      1.6551386      93.611865    -0.19034758
           2.34     -1.2796543   0.0098654616     0.16953738      1.4386901      61.479274    -0.17832522
           2.36     -1.2523966  -0.0091382012     0.13589616      1.3068545      41.797039    -0.16747251
           2.38     -1.2273691   0.0032975958     0.11837569      1.2037183      32.031773     -0.1573302
