              x              y              z             vx             vy             vz
      1.0000000   0.0062831853      0.0000000   -0.019738040      6.2830613      0.0000000
     0.99996052    0.012566123      0.0000000   -0.059212172      6.2826893      0.0000000
     0.99988158    0.018848564      0.0000000   -0.098681630      6.2820693      0.0000000
     0.99976316    0.025130261      0.0000000    -0.13814486      6.2812013      0.0000000
     0.99960529    0.031410966      0.0000000    -0.17760029      6.2800855      0.0000000
     0.99940796    0.037690432      0.0000000    -0.21704639      6.2787220      0.0000000
     0.99917119    0.043968410      0.0000000    -0.25648158      6.2771107      0.0000000
     0.99889500    0.050244654      0.0000000    -0.29590432      6.2752519      0.0000000
     0.99857938    0.056518914      0.0000000    -0.33531305      6.2731455      0.0000000
     0.99822437    0.062790945      0.0000000    -0.37470622      6.2707918      0.0000000
     0.99782997    0.069060498      0.0000000    -0.41408229      6.2681907      0.0000000
     0.99739621    0.075327326      0.0000000    -0.45343968      6.2653426      0.0000000
     0.99692309    0.081591183      0.0000000    -0.49277687      6.2622474      0.0000000
     0.99641065    0.087851821      0.0000000    -0.53209230      6.2589054      0.0000000
     0.99585891    0.094108994      0.0000000    -0.57138442      6.2553167      0.0000000
     0.99526788     0.10036245      0.0000000    -0.61065168      6.2514815      0.0000000
     0.99463760     0.10661196      0.0000000    -0.64989255      6.2474000      0.0000000
     0.99396810     0.11285725      0.0000000    -0.68910548      6.2430724      0.0000000
     0.99325939     0.11909810      0.0000000    -0.72828893      6.2384987      0.0000000
     0.99251152     0.12533425      0.0000000    -0.76744135      6.2336794      0.0000000
     0.99172451     0.13156546      0.0000000    -0.80656121      6.2286145      0.0000000
     0.99089840     0.13779148      0.0000000    -0.84564698      6.2233044      0.0000000
     0.99003322     0.14401207      0.0000000    -0.88469711      6.2177492      0.0000000
     0.98912900     0.15022698      0.0000000    -0.92371008      6.2119492      0.0000000
     0.98818580     0.15643597      0.0000000    -0.96268435      6.2059047      0.0000000
     0.98720364     0.16263879      0.0000000     -1.0016184      6.1996159      0.0000000
     0.98618256     0.16883520      0.0000000     -1.0405107      6.1930830      0.0000000
     0.98512261     0.17502495      0.0000000     -1.0793597      6.1863065      0.0000000
     0.98402384     0.18120781      0.0000000     -1.1181639      6.1792865      0.0000000
     0.98288629     0.18738353      0.0000000     -1.1569217      6.1720235      0.0000000
     0.98171000     0.19355186      0.0000000     -1.1956318      6.1645176      0.0000000
     0.98049502     0.19971256      0.0000000     -1.2342924      6.1567692      0.0000000
     0.97924141     0.20586540      0.0000000     -1.2729022      6.1487787      0.0000000
     0.97794922     0.21201012      0.0000000     -1.3114596      6.1405464      0.0000000
     0.97661849     0.21814649      0.0000000     -1.3499631      6.1320727      0.0000000
     0.97524929     0.22427427      0.0000000     -1.3884112      6.1233578      0.0000000
     0.97384167     0.23039321      0.0000000     -1.4268024      6.1144023      0.0000000
     0.97239569     0.23650307      0.0000000     -1.4651351      6.1052064      0.0000000
     0.97091140     0.24260362      0.0000000     -1.5034080      6.0957705      0.0000000
     0.96938887     0.24869461      0.0000000     -1.5416194      6.0860951      0.0000000
     0.96782816     0.25477581      0.0000000     -1.5797679      6.0761806      0.0000000
     0.96622934     0.26084697      0.0000000     -1.6178520      6.0660273      0.0000000
     0.96459246     0.26690786      0.0000000     -1.6558703      6.0556357      0.0000000
     0.96291760     0.27295824      0.0000000     -1.6938211      6.0450062      0.0000000
     0.96120482     0.27899788      0.0000000     -1.7317031      6.0341394      0.0000000
     0.95945419     0.28502652      0.0000000     -1.7695148      6.0230355      0.0000000
     0.95766579     0.29104395      0.0000000     -1.8072546      6.0116952      0.0000000
     0.95583968     0.29704991      0.0000000     -1.8449212      6.0001188      0.0000000
     0.95397594     0.30304418      0.0000000     -1.8825130      5.9883069      0.0000000
     0.95207465     0.30902653      0.0000000     -1.9200285      5.9762599      0.0000000
     0.95013589     0.31499670      0.0000000     -1.9574664      5.9639783      0.0000000
     0.94815972     0.32095448      0.0000000     -1.9948251      5.9514627      0.0000000
     0.94614624     0.32689963      0.0000000     -2.0321033      5.9387136      0.0000000
     0.94409551     0.33283191      0.0000000     -2.0692993      5.9257314      0.0000000
     0.94200764     0.33875109      0.0000000     -2.1064119      5.9125168      0.0000000
     0.93988269     0.34465694      0.0000000     -2.1434394      5.8990702      0.0000000
     0.93772076     0.35054923      0.0000000     -2.1803806      5.8853923      0.0000000
     0.93552193     0.35642773      0.0000000     -2.2172340      5.8714836      0.0000000
     0.93328629     0.36229220      0.0000000     -2.2539981      5.8573446      0.0000000
     0.93101393     0.36814242      0.0000000     -2.2906714      5.8429759      0.0000000
     0.92870495     0.37397815      0.0000000     -2.3272526      5.8283782      0.0000000
     0.92635943     0.37979917      0.0000000     -2.3637403      5.8135520      0.0000000
     0.92397747     0.38560526      0.0000000     -2.4001330      5.7984979      0.0000000
     0.92155916     0.39139617      0.0000000     -2.4364293      5.7832166      0.0000000
     0.91910461     0.39717169      0.0000000     -2.4726278      5.7677086      0.0000000
     0.91661391     0.40293159      0.0000000     -2.5087270      5.7519746      0.0000000
     0.91408715     0.40867564      0.0000000     -2.5447257      5.7360153      0.0000000
     0.91152446     0.41440362      0.0000000     -2.5806223      5.7198313      0.0000000
     0.90892591     0.42011530      0.0000000     -2.6164155      5.7034232      0.0000000
     0.90629162     0.42581046      0.0000000     -2.6521039      5.6867917      0.0000000
     0.90362170     0.43148888      0.0000000     -2.6876861      5.6699375      0.0000000
     0.90091625     0.43715034      0.0000000     -2.7231608      5.6528613      0.0000000
     0.89817538     0.44279461      0.0000000     -2.7585265      5.6355638      0.0000000
     0.89539920     0.44842147      0.0000000     -2.7937818      5.6180456      0.0000000
     0.89258782     0.45403070      0.0000000     -2.8289255      5.6003075      0.0000000
     0.88974135     0.45962208      0.0000000     -2.8639561      5.5823502      0.0000000
     0.88685990     0.46519540      0.0000000     -2.8988723      5.5641745      0.0000000
     0.88394360     0.47075043      0.0000000     -2.9336728      5.5457809      0.0000000
     0.88099256     0.47628696      0.0000000     -2.9683561      5.5271704      0.0000000
     0.87800689     0.48180477      0.0000000     -3.0029209      5.5083436      0.0000000
     0.87498672     0.48730365      0.0000000     -3.0373660      5.4893014      0.0000000
