              x              y              z             vx             vy             vz
     0.36456362    -0.90149076      0.0000000      6.0160806      2.3582831      0.0000000
     0.42394182    -0.87597269      0.0000000      5.8470219      2.7394179      0.0000000
     0.48150406    -0.84670241      0.0000000      5.6533752      3.1078843      0.0000000
     0.53700932    -0.81381501      0.0000000      5.4361686      3.4620438      0.0000000
     0.59022743    -0.77746153      0.0000000      5.1965443      3.8003521      0.0000000
     0.64094021    -0.73780796      0.0000000      4.9357491      4.1213677      0.0000000
     0.68894241    -0.69503418      0.0000000      4.6551238      4.4237589      0.0000000
     0.73404268    -0.64933279      0.0000000      4.3560916      4.7063098      0.0000000
     0.77606425    -0.60090798      0.0000000      4.0401470      4.9679247      0.0000000
     0.81484562    -0.54997429      0.0000000      3.7088444      5.2076321      0.0000000
     0.85024113    -0.49675534      0.0000000      3.3637865      5.4245863      0.0000000
     0.88212135    -0.44148256      0.0000000      3.0066127      5.6180686      0.0000000
     0.91037339    -0.38439397      0.0000000      2.6389884      5.7874869      0.0000000
     0.93490112    -0.32573283      0.0000000      2.2625944      5.9323750      0.0000000
     0.95562528    -0.26574647      0.0000000      1.8791165      6.0523899      0.0000000
     0.97248345    -0.20468503      0.0000000      1.4902361      6.1473090      0.0000000
     0.98543000    -0.14280029      0.0000000      1.0976214      6.2170267      0.0000000
     0.99443588   -0.080344494      0.0000000     0.70291941      6.2615496      0.0000000
     0.99948839   -0.017569293      0.0000000     0.30774818      6.2809918      0.0000000
      1.0005908    0.045275342      0.0000000   -0.086309574      6.2755697      0.0000000
     0.99776219     0.10794210      0.0000000    -0.47771248      6.2455964      0.0000000
     0.99103659     0.17018727      0.0000000    -0.86496567      6.1914759      0.0000000
     0.98046288     0.23177162      0.0000000     -1.2466252      6.1136970      0.0000000
     0.96610409     0.29246121      0.0000000     -1.6213018      6.0128277      0.0000000
     0.94803685     0.35202817      0.0000000     -1.9876640      5.8895091      0.0000000
     0.92635081     0.41025139      0.0000000     -2.3444406      5.7444493      0.0000000
     0.90114803     0.46691716      0.0000000     -2.6904227      5.5784184      0.0000000
     0.87254235     0.52181976      0.0000000     -3.0244650      5.3922422      0.0000000
     0.84065873     0.57476200      0.0000000     -3.3454868      5.1867975      0.0000000
     0.80563262     0.62555571      0.0000000     -3.6524727      4.9630068      0.0000000
     0.76760928     0.67402214      0.0000000     -3.9444726      4.7218338      0.0000000
     0.72674316     0.71999239      0.0000000     -4.2206019      4.4642788      0.0000000
     0.68319724     0.76330772      0.0000000     -4.4800410      4.1913744      0.0000000
     0.63714234     0.80381987      0.0000000     -4.7220351      3.9041820      0.0000000
     0.58875654     0.84139136      0.0000000     -4.9458929      3.6037880      0.0000000
     0.53822449     0.87589563      0.0000000     -5.1509866      3.2913007      0.0000000
     0.48573681     0.90721737      0.0000000     -5.3367504      2.9678472      0.0000000
     0.43148948     0.93525258      0.0000000     -5.5026802      2.6345706      0.0000000
     0.37568320     0.95990878      0.0000000     -5.6483322      2.2926275      0.0000000
     0.31852283     0.98110513      0.0000000     -5.7733223      1.9431863      0.0000000
     0.26021676     0.99877251      0.0000000     -5.8773253      1.5874241      0.0000000
     0.20097633      1.0128536      0.0000000     -5.9600742      1.2265257      0.0000000
     0.14101527      1.0233030      0.0000000     -6.0213592     0.86168150      0.0000000
    0.080549143      1.0300872      0.0000000     -6.0610275     0.49408591      0.0000000
    0.019794724      1.0331847      0.0000000     -6.0789828     0.12493584      0.0000000
   -0.041030513      1.0325860      0.0000000     -6.0751847    -0.24457071      0.0000000
    -0.10170897      1.0282933      0.0000000     -6.0496490    -0.61323606      0.0000000
    -0.16202349      1.0203212      0.0000000     -6.0024471    -0.97986423      0.0000000
    -0.22175791      1.0086960      0.0000000     -5.9337065     -1.3432623      0.0000000
    -0.28069762     0.99345599      0.0000000     -5.8436107     -1.7022420      0.0000000
    -0.33863013     0.97465120      0.0000000     -5.7323996     -2.0556208      0.0000000
    -0.39534562     0.95234357      0.0000000     -5.6003702     -2.4022240      0.0000000
    -0.45063753     0.92660672      0.0000000     -5.4478767     -2.7408862      0.0000000
    -0.50430315     0.89752585      0.0000000     -5.2753313     -3.0704530      0.0000000
    -0.55614416     0.86519766      0.0000000     -5.0832051     -3.3897833      0.0000000
    -0.60596725     0.82973019      0.0000000     -4.8720286     -3.6977512      0.0000000
    -0.65358473     0.79124264      0.0000000     -4.6423924     -3.9932489      0.0000000
    -0.69881510     0.74986521      0.0000000     -4.3949483     -4.2751888      0.0000000
    -0.74148370     0.70573886      0.0000000     -4.1304098     -4.5425067      0.0000000
    -0.78142329     0.65901507      0.0000000     -3.8495525     -4.7941650      0.0000000
    -0.81847474     0.60985556      0.0000000     -3.5532152     -5.0291561      0.0000000
    -0.85248760     0.55843195      0.0000000     -3.2423001     -5.2465061      0.0000000
    -0.88332075     0.50492544      0.0000000     -2.9177726     -5.4452787      0.0000000
    -0.91084305     0.44952638      0.0000000     -2.5806621     -5.6245800      0.0000000
    -0.93493399     0.39243384      0.0000000     -2.2320607     -5.7835625      0.0000000
    -0.95548427     0.33385513      0.0000000     -1.8731236     -5.9214302      0.0000000
    -0.97239646     0.27400524      0.0000000     -1.5050671     -6.0374439      0.0000000
    -0.98558561     0.21310625      0.0000000     -1.1291678     -6.1309262      0.0000000
    -0.99497982     0.15138671      0.0000000    -0.74676033     -6.2012672      0.0000000
     -1.0005208    0.089080906      0.0000000    -0.35923500     -6.2479303      0.0000000
     -1.0021645    0.026428106      0.0000000    0.031965461     -6.2704576      0.0000000
    -0.99988151   -0.036328246      0.0000000     0.42534953     -6.2684759      0.0000000
    -0.99365752   -0.098941412      0.0000000     0.81938131     -6.2417024      0.0000000
    -0.98349388    -0.16116229      0.0000000      1.2124856     -6.1899504      0.0000000
    -0.96940781    -0.22274042      0.0000000      1.6030539     -6.1131346      0.0000000
    -0.95143280    -0.28342499      0.0000000      1.9894506     -6.0112761      0.0000000
    -0.92961880    -0.34296594      0.0000000      2.3700207     -5.8845076      0.0000000
    -0.90403239    -0.40111514      0.0000000      2.7430976     -5.7330770      0.0000000
    -0.87475685    -0.45762748      0.0000000      3.1070118     -5.5573515      0.0000000
    -0.84189215    -0.51226217      0.0000000      3.4601004     -5.3578202      0.0000000
    -0.80555484    -0.56478389      0.0000000      3.8007169     -5.1350962      0.0000000
    -0.76587781    -0.61496409      0.0000000      4.1272419     -4.8899181      0.0000000
    -0.72301000    -0.66258225      0.0000000      4.4380936     -4.6231495      0.0000000
    -0.67711594    -0.70742708      0.0000000      4.7317393     -4.3357786      0.0000000
    -0.62837521    -0.74929782      0.0000000      5.0067068     -4.0289158      0.0000000
    -0.57698180    -0.78800540      0.0000000      5.2615955     -3.7037904      0.0000000
    -0.52314330    -0.82337363      0.0000000      5.4950878     -3.3617460      0.0000000
