              x              y              z             vx             vy             vz
     0.86557931     0.50451232      0.0000000     -3.1616752      5.4401682      0.0000000
     0.86241763     0.50995248      0.0000000     -3.1956550      5.4203627      0.0000000
     0.85922198     0.51537285      0.0000000     -3.2295080      5.4003452      0.0000000
     0.85599247     0.52077319      0.0000000     -3.2632327      5.3801167      0.0000000
     0.85272924     0.52615331      0.0000000     -3.2968278      5.3596780      0.0000000
     0.84943241     0.53151299      0.0000000     -3.3302920      5.3390298      0.0000000
     0.84610212     0.53685202      0.0000000     -3.3636239      5.3181731      0.0000000
     0.84273849     0.54217019      0.0000000     -3.3968224      5.2971086      0.0000000
     0.83934167     0.54746730      0.0000000     -3.4298860      5.2758374      0.0000000
     0.83591179     0.55274314      0.0000000     -3.4628135      5.2543602      0.0000000
     0.83244897     0.55799750      0.0000000     -3.4956036      5.2326779      0.0000000
     0.82895337     0.56323017      0.0000000     -3.5282549      5.2107914      0.0000000
     0.82542511     0.56844097      0.0000000     -3.5607663      5.1887017      0.0000000
     0.82186435     0.57362967      0.0000000     -3.5931363      5.1664095      0.0000000
     0.81827121     0.57879608      0.0000000     -3.6253639      5.1439159      0.0000000
     0.81464585     0.58393999      0.0000000     -3.6574476      5.1212218      0.0000000
     0.81098840     0.58906121      0.0000000     -3.6893863      5.0983281      0.0000000
     0.80729901     0.59415954      0.0000000     -3.7211787      5.0752357      0.0000000
     0.80357783     0.59923478      0.0000000     -3.7528235      5.0519456      0.0000000
     0.79982501     0.60428672      0.0000000     -3.7843195      5.0284588      0.0000000
     0.79604069     0.60931518      0.0000000     -3.8156654      5.0047762      0.0000000
     0.79222503     0.61431996      0.0000000     -3.8468602      4.9808987      0.0000000
     0.78837817     0.61930086      0.0000000     -3.8779024      4.9568275      0.0000000
     0.78450026     0.62425769      0.0000000     -3.9087909      4.9325633      0.0000000
     0.78059147     0.62919025      0.0000000     -3.9395246      4.9081074      0.0000000
     0.77665195     0.63409836      0.0000000     -3.9701021      4.8834606      0.0000000
     0.77268185     0.63898182      0.0000000     -4.0005224      4.8586239      0.0000000
     0.76868132     0.64384044      0.0000000     -4.0307841      4.8335985      0.0000000
     0.76465054     0.64867404      0.0000000     -4.0608862      4.8083852      0.0000000
     0.76058965     0.65348242      0.0000000     -4.0908275      4.7829852      0.0000000
     0.75649883     0.65826541      0.0000000     -4.1206068      4.7573995      0.0000000
     0.75237822     0.66302281      0.0000000     -4.1502228      4.7316292      0.0000000
     0.74822800     0.66775444      0.0000000     -4.1796746      4.7056752      0.0000000
     0.74404832     0.67246011      0.0000000     -4.2089609      4.6795387      0.0000000
     0.73983936     0.67713965      0.0000000     -4.2380806      4.6532208      0.0000000
     0.73560128     0.68179287      0.0000000     -4.2670325      4.6267225      0.0000000
     0.73133425     0.68641960      0.0000000     -4.2958156      4.6000448      0.0000000
     0.72703843     0.69101964      0.0000000     -4.3244287      4.5731890      0.0000000
     0.72271400     0.69559283      0.0000000     -4.3528707      4.5461561      0.0000000
     0.71836113     0.70013899      0.0000000     -4.3811404      4.5189472      0.0000000
     0.71397999     0.70465793      0.0000000     -4.4092369      4.4915634      0.0000000
     0.70957076     0.70914950      0.0000000     -4.4371590      4.4640059      0.0000000
     0.70513360     0.71361350      0.0000000     -4.4649056      4.4362757      0.0000000
     0.70066869     0.71804978      0.0000000     -4.4924757      4.4083741      0.0000000
     0.69617621     0.72245815      0.0000000     -4.5198682      4.3803021      0.0000000
     0.69165635     0.72683845      0.0000000     -4.5470819      4.3520610      0.0000000
     0.68710926     0.73119051      0.0000000     -4.5741160      4.3236518      0.0000000
     0.68253515     0.73551417      0.0000000     -4.6009693      4.2950758      0.0000000
     0.67793418     0.73980924      0.0000000     -4.6276408      4.2663340      0.0000000
     0.67330654     0.74407558      0.0000000     -4.6541294      4.2374277      0.0000000
     0.66865241     0.74831300      0.0000000     -4.6804342      4.2083582      0.0000000
     0.66397198     0.75252136      0.0000000     -4.7065541      4.1791264      0.0000000
     0.65926542     0.75670049      0.0000000     -4.7324881      4.1497337      0.0000000
     0.65453293     0.76085022      0.0000000     -4.7582353      4.1201813      0.0000000
     0.64977470     0.76497040      0.0000000     -4.7837946      4.0904704      0.0000000
     0.64499090     0.76906087      0.0000000     -4.8091650      4.0606021      0.0000000
     0.64018174     0.77312148      0.0000000     -4.8343457      4.0305778      0.0000000
     0.63534739     0.77715205      0.0000000     -4.8593355      4.0003986      0.0000000
     0.63048806     0.78115245      0.0000000     -4.8841336      3.9700657      0.0000000
     0.62560392     0.78512252      0.0000000     -4.9087390      3.9395805      0.0000000
     0.62069518     0.78906210      0.0000000     -4.9331508      3.9089441      0.0000000
     0.61576203     0.79297104      0.0000000     -4.9573680      3.8781579      0.0000000
     0.61080467     0.79684920      0.0000000     -4.9813897      3.8472230      0.0000000
     0.60582328     0.80069642      0.0000000     -5.0052150      3.8161408      0.0000000
     0.60081806     0.80451256      0.0000000     -5.0288429      3.7849125      0.0000000
     0.59578922     0.80829748      0.0000000     -5.0522727      3.7535394      0.0000000
     0.59073695     0.81205102      0.0000000     -5.0755034      3.7220227      0.0000000
     0.58566144     0.81577304      0.0000000     -5.0985340      3.6903638      0.0000000
     0.58056291     0.81946340      0.0000000     -5.1213638      3.6585640      0.0000000
     0.57544154     0.82312197      0.0000000     -5.1439919      3.6266245      0.0000000
     0.57029755     0.82674859      0.0000000     -5.1664174      3.5945466      0.0000000
     0.56513113     0.83034314      0.0000000     -5.1886395      3.5623318      0.0000000
     0.55994250     0.83390547      0.0000000     -5.2106573      3.5299812      0.0000000
     0.55473184     0.83743545      0.0000000     -5.2324699      3.4974962      0.0000000
     0.54949937     0.84093295      0.0000000     -5.2540767      3.4648782      0.0000000
     0.54424529     0.84439783      0.0000000     -5.2754767      3.4321284      0.0000000
     0.53896981     0.84782995      0.0000000     -5.2966692      3.3992483      0.0000000
     0.53367315     0.85122920      0.0000000     -5.3176533      3.3662390      0.0000000
     0.52835549     0.85459544      0.0000000     -5.3384283      3.3331021      0.0000000
     0.52301706     0.85792854      0.0000000     -5.3589934      3.2998388      0.0000000
     0.51765807     0.86122838      0.0000000     -5.3793479      3.2664505      0.0000000
     0.51227872     0.86449483      0.0000000     -5.3994909      3.2329385      0.0000000
     0.50687923     0.86772777      0.0000000     -5.4194217      3.1993043      0.0000000
     0.50145981     0.87092708      0.0000000     -5.4391396      3.1655491      0.0000000
     0.49602067     0.87409262      0.0000000     -5.4586439      3.1316745      0.0000000
     0.49056203     0.87722430      0.0000000     -5.4779338      3.0976817      0.0000000
     0.48508409     0.88032198      0.0000000     -5.4970086      3.0635721      0.0000000
     0.47958708     0.88338555      0.0000000     -5.5158675      3.0293471      0.0000000
     0.47407122     0.88641490      0.0000000     -5.5345100      2.9950082      0.0000000
     0.46853671     0.88940991      0.0000000     -5.5529354      2.9605567      0.0000000
     0.46298377     0.89237046      0.0000000     -5.5711428      2.9259939      0.0000000
     0.45741263     0.89529646      0.0000000     -5.5891318      2.8913215      0.0000000
     0.45182350     0.89818778      0.0000000     -5.6069015      2.8565406      0.0000000
     0.44621659     0.90104432      0.0000000     -5.6244515      2.8216528      0.0000000
     0.44059214     0.90386597      0.0000000     -5.6417809      2.7866594      0.0000000
     0.43495036     0.90665263      0.0000000     -5.6588893      2.7515620      0.0000000
     0.42929147     0.90940419      0.0000000     -5.6757759      2.7163618      0.0000000
     0.42361570     0.91212056      0.0000000     -5.6924402      2.6810604      0.0000000
     0.41792326     0.91480162      0.0000000     -5.7088816      2.6456592      0.0000000
     0.41221438     0.91744728      0.0000000     -5.7250995      2.6101595      0.0000000
     0.40648928     0.92005744      0.0000000     -5.7410932      2.5745630      0.0000000
     0.40074818     0.92263200      0.0000000     -5.7568623      2.5388709      0.0000000
     0.39499132     0.92517087      0.0000000     -5.7724061      2.5030848      0.0000000
     0.38921891     0.92767395      0.0000000     -5.7877241      2.4672060      0.0000000
     0.38343119     0.93014116      0.0000000     -5.8028158      2.4312361      0.0000000
     0.37762837     0.93257240      0.0000000     -5.8176806      2.3951766      0.0000000
     0.37181069     0.93496757      0.0000000     -5.8323180      2.3590287      0.0000000
     0.36597838     0.93732660      0.0000000     -5.8467275      2.3227942      0.0000000
     0.36013165     0.93964940      0.0000000     -5.8609086      2.2864743      0.0000000
     0.35427074     0.94193587      0.0000000     -5.8748607      2.2500706      0.0000000
     0.34839588     0.94418594      0.0000000     -5.8885835      2.2135845      0.0000000
     0.34250730     0.94639953      0.0000000     -5.9020763      2.1770176      0.0000000
     0.33660522     0.94857654      0.0000000     -5.9153389      2.1403712      0.0000000
     0.33068988     0.95071691      0.0000000     -5.9283706      2.1036469      0.0000000
     0.32476151     0.95282056      0.0000000     -5.9411711      2.0668462      0.0000000
     0.31882034     0.95488741      0.0000000     -5.9537398      2.0299705      0.0000000
     0.31286660     0.95691738      0.0000000     -5.9660765      1.9930214      0.0000000
     0.30690052     0.95891040      0.0000000     -5.9781807      1.9560003      0.0000000
     0.30092234     0.96086640      0.0000000     -5.9900519      1.9189087      0.0000000
     0.29493229     0.96278531      0.0000000     -6.0016898      1.8817481      0.0000000
     0.28893060     0.96466706      0.0000000     -6.0130939      1.8445200      0.0000000
     0.28291751     0.96651158      0.0000000     -6.0242640      1.8072260      0.0000000
     0.27689324     0.96831880      0.0000000     -6.0351996      1.7698675      0.0000000
     0.27085804     0.97008867      0.0000000     -6.0459004      1.7324460      0.0000000
     0.26481214     0.97182112      0.0000000     -6.0563660      1.6949630      0.0000000
     0.25875578     0.97351608      0.0000000     -6.0665961      1.6574200      0.0000000
     0.25268918     0.97517350      0.0000000     -6.0765903      1.6198186      0.0000000
     0.24661259     0.97679332      0.0000000     -6.0863484      1.5821603      0.0000000
     0.24052624     0.97837548      0.0000000     -6.0958701      1.5444465      0.0000000
     0.23443037     0.97991992      0.0000000     -6.1051550      1.5066788      0.0000000
     0.22832522     0.98142660      0.0000000     -6.1142029      1.4688587      0.0000000
     0.22221101     0.98289546      0.0000000     -6.1230134      1.4309878      0.0000000
     0.21608800     0.98432645      0.0000000     -6.1315863      1.3930675      0.0000000
     0.20995641     0.98571952      0.0000000     -6.1399215      1.3550993      0.0000000
     0.20381649     0.98707462      0.0000000     -6.1480185      1.3170848      0.0000000
     0.19766847     0.98839170      0.0000000     -6.1558772      1.2790255      0.0000000
     0.19151260     0.98967073      0.0000000     -6.1634973      1.2409230      0.0000000
     0.18534910     0.99091165      0.0000000     -6.1708786      1.2027787      0.0000000
     0.17917822     0.99211443      0.0000000     -6.1780210      1.1645942      0.0000000
     0.17300020     0.99327902      0.0000000     -6.1849242      1.1263710      0.0000000
     0.16681528     0.99440539      0.0000000     -6.1915881      1.0881106      0.0000000
     0.16062369     0.99549350      0.0000000     -6.1980124      1.0498146      0.0000000
     0.15442567     0.99654332      0.0000000     -6.2041970      1.0114844      0.0000000
     0.14822148     0.99755480      0.0000000     -6.2101417     0.97312174      0.0000000
     0.14201134     0.99852792      0.0000000     -6.2158464     0.93472800      0.0000000
     0.13579549     0.99946265      0.0000000     -6.2213110     0.89630473      0.0000000
     0.12957418      1.0003590      0.0000000     -6.2265353     0.85785348      0.0000000
     0.12334764      1.0012168      0.0000000     -6.2315192     0.81937577      0.0000000
     0.11711612      1.0020362      0.0000000     -6.2362627     0.78087315      0.0000000
     0.11087986      1.0028171      0.0000000     -6.2407655     0.74234713      0.0000000
     0.10463910      1.0035594      0.0000000     -6.2450277     0.70379925      0.0000000
    0.098394068      1.0042632      0.0000000     -6.2490491     0.66523104      0.0000000
    0.092145019      1.0049284      0.0000000     -6.2528298     0.62664404      0.0000000
    0.085892190      1.0055551      0.0000000     -6.2563695     0.58803978      0.0000000
    0.079635820      1.0061431      0.0000000     -6.2596683     0.54941978      0.0000000
    0.073376152      1.0066925      0.0000000     -6.2627262     0.51078558      0.0000000
    0.067113425      1.0072033      0.0000000     -6.2655431     0.47213872      0.0000000
    0.060847882      1.0076755      0.0000000     -6.2681190     0.43348071      0.0000000
    0.054579763      1.0081089      0.0000000     -6.2704540     0.39481310      0.0000000
