              x              y              z             vx             vy             vz
      1.0000000    0.062831853      0.0000000    -0.39478418      6.2831853      0.0000000
     0.99605216     0.12566371      0.0000000    -0.78724202      6.2585265      0.0000000
     0.98817974     0.18824897      0.0000000     -1.1758470      6.2094994      0.0000000
     0.97642127     0.25034396      0.0000000     -1.5590823      6.1364927      0.0000000
     0.96083044     0.31170889      0.0000000     -1.9354490      6.0399964      0.0000000
     0.94147595     0.37210886      0.0000000     -2.3034745      5.9206030      0.0000000
     0.91844121     0.43131488      0.0000000     -2.6617224      5.7790091      0.0000000
     0.89182399     0.48910498      0.0000000     -3.0088021      5.6160148      0.0000000
     0.86173596     0.54526512      0.0000000     -3.3433796      5.4325217      0.0000000
     0.82830217     0.59959034      0.0000000     -3.6641873      5.2295301      0.0000000
     0.79166030     0.65188564      0.0000000     -3.9700345      5.0081338      0.0000000
     0.75195995     0.70196698      0.0000000     -4.2598173      4.7695147      0.0000000
     0.70936178     0.74966213      0.0000000     -4.5325279      4.5149349      0.0000000
     0.66403650     0.79481148      0.0000000     -4.7872628      4.2457280      0.0000000
     0.61616387     0.83726876      0.0000000     -5.0232305      3.9632889      0.0000000
     0.56593156     0.87690164      0.0000000     -5.2397576      3.6690630      0.0000000
     0.51353399     0.91359227      0.0000000     -5.4362932      3.3645343      0.0000000
     0.45917106     0.94723762      0.0000000     -5.6124126      3.0512127      0.0000000
     0.40304693     0.97774974      0.0000000     -5.7678185      2.7306213      0.0000000
     0.34536875      1.0050560      0.0000000     -5.9023411      2.4042833      0.0000000
     0.28634534      1.0290988      0.0000000     -6.0159367      2.0737095      0.0000000
     0.22618597      1.0498359      0.0000000     -6.1086836      1.7403854      0.0000000
     0.16509913      1.0672397      0.0000000     -6.1807783      1.4057600      0.0000000
     0.10329135      1.0812973      0.0000000     -6.2325286      1.0712342      0.0000000
    0.040966064      1.0920097      0.0000000     -6.2643464     0.73815162      0.0000000
   -0.021677400      1.0993912      0.0000000     -6.2767397     0.40778922      0.0000000
   -0.084444797      1.1034691      0.0000000     -6.2703031    0.081350249      0.0000000
    -0.14714783      1.1042826      0.0000000     -6.2457081    -0.24004205      0.0000000
    -0.20960491      1.1018822      0.0000000     -6.2036928    -0.55534913      0.0000000
    -0.27164184      1.0963287      0.0000000     -6.1450520    -0.86362055      0.0000000
    -0.33309236      1.0876925      0.0000000     -6.0706267     -1.1639960      0.0000000
    -0.39379862      1.0760525      0.0000000     -5.9812941     -1.4557062      0.0000000
    -0.45361157      1.0614955      0.0000000     -5.8779577     -1.7380725      0.0000000
    -0.51239114      1.0441147      0.0000000     -5.7615382     -2.0105053      0.0000000
    -0.57000652      1.0240097      0.0000000     -5.6329654     -2.2725021      0.0000000
    -0.62633618      1.0012847      0.0000000     -5.4931693     -2.5236441      0.0000000
    -0.68126787     0.97604821      0.0000000     -5.3430738     -2.7635923      0.0000000
    -0.73469861     0.94841229      0.0000000     -5.1835900     -2.9920838      0.0000000
    -0.78653451     0.91849145      0.0000000     -5.0156104     -3.2089263      0.0000000
    -0.83669061     0.88640219      0.0000000     -4.8400044     -3.4139937      0.0000000
    -0.88509066     0.85226225      0.0000000     -4.6576142     -3.6072206      0.0000000
    -0.93166680     0.81619005      0.0000000     -4.4692511     -3.7885972      0.0000000
    -0.97635931     0.77830407      0.0000000     -4.2756934     -3.9581641      0.0000000
     -1.0191162     0.73872243      0.0000000     -4.0776840     -4.1160071      0.0000000
     -1.0598931     0.69756236      0.0000000     -3.8759293     -4.2622522      0.0000000
     -1.0986524     0.65493984      0.0000000     -3.6710979     -4.3970608      0.0000000
