              T              E              M            |M|             Cv              X              A
          2.265     -1.4511506    0.046351035     0.69937406      1.5984831      5.9487924     0.18601064
          2.266     -1.4524458   -0.010443354     0.70299097      1.5858513      5.7250406     0.18563793
          2.267     -1.4482984   -0.014038409      0.6946786      1.6249117      6.2869912      0.1870952
          2.268      -1.446872    0.035318626     0.69513294      1.6068869      6.0401514     0.18765263
          2.269     -1.4472599  -0.0028092626     0.69638431      1.6057026      6.0295153     0.18756641
           2.27     -1.4441863   0.0095082071     0.69372275      1.5932622      5.9559631     0.18867208
          2.271     -1.4425764    0.039176318     0.68984157      1.6158428       6.303566     0.18929468
          2.272      -1.438036   -0.071583889     0.68371242       1.644425      6.5756645     0.19090925
          2.273     -1.4392015   -0.018235869     0.68696639      1.6171847       6.279096     0.19062071
          2.274     -1.4358944   -0.057998253     0.68253652      1.6390369      6.5161416     0.19172017
          2.275      -1.436182    0.025741525     0.68440858      1.6150976      6.3470691     0.19169091
          2.276     -1.4323234   -0.021428869     0.67857323      1.6467397      6.6705985     0.19316704
          2.277     -1.4328486    0.038931682     0.68099349       1.640877      6.4683449     0.19299627
          2.278     -1.4298937   0.0081223535     0.67735894      1.6274295      6.5234602      0.1940229
          2.279     -1.4293776   -0.011901298     0.67770602      1.6336533      6.5332396     0.19423581
           2.28     -1.4289433   -0.013795798     0.67707482      1.6331978      6.5337183     0.19444664
          2.281     -1.4268981    -0.11053454      0.6769314      1.6191444      6.3355066     0.19531259
          2.282     -1.4242723    0.058651106      0.6707651      1.6580146      6.8362319     0.19623067
          2.283      -1.422915   -0.040413212     0.67087829      1.6455174      6.6477406      0.1967087
          2.284     -1.4208772    0.033169298      0.6681345      1.6389319      6.7701084     0.19752295
          2.285     -1.4199813  -0.0050173737     0.66723044      1.6464448      6.8310717     0.19790434
          2.286     -1.4150944    0.021776237     0.65950037      1.6644955      7.2189705     0.19962103
          2.287     -1.4178462    0.072176722     0.66587303      1.6356049       6.779692      0.1987598
          2.288     -1.4158363    0.070933182     0.66356837      1.6357131      6.8474865     0.19944547
          2.289     -1.4143598  -0.0033114293     0.66264341      1.6414652      6.8204294     0.20005513
           2.29     -1.4112479    0.010470889      0.6585312      1.6511103      6.9487705     0.20117003
          2.291     -1.4088604   -0.029337394     0.65436235       1.657685      7.1436296     0.20205931
          2.292     -1.4083662   -0.022758571     0.65475727      1.6660627      7.1429384      0.2023489
          2.293       -1.40862    0.018332374     0.65582943      1.6475887      7.0532282     0.20237207
          2.294     -1.4036972   -0.017803268     0.64910449      1.6535959      7.2477525     0.20405537
          2.295     -1.4036879     0.01347349     0.65042837      1.6472001      7.1404239     0.20417202
          2.296      -1.399976    0.019713631     0.64357778      1.6764064      7.4887922     0.20550216
          2.297     -1.3999832    0.056705157     0.64570517      1.6605775      7.2908487     0.20552389
          2.298     -1.3969809   0.0071360202     0.64127368      1.6640055      7.4772092     0.20654673
          2.299     -1.3972236   -0.055992293     0.64295594      1.6682285      7.4125971     0.20659036
            2.3     -1.3966286   -0.057381545     0.64294913       1.657638      7.3438487     0.20680914
          2.301     -1.3916834   -0.034741227     0.63511849       1.666782       7.627695     0.20862901
          2.302     -1.3934382    0.060369803     0.63975879        1.66105      7.3974674     0.20801497
          2.303     -1.3888719   -0.035856298     0.63206935       1.674271      7.6794437      0.2097329
          2.304     -1.3889819   -0.014028268     0.63366778      1.6688008      7.6337176     0.20972086
          2.305     -1.3863741    0.010278485     0.63010276      1.6695166      7.6783435     0.21064767
          2.306     -1.3838768     0.02269604     0.62678362      1.6763079      7.8292164     0.21165284
          2.307     -1.3843233   -0.018162152     0.62869982      1.6599396      7.6519931     0.21158015
          2.308     -1.3802158    0.025444869     0.62168379      1.6646704      7.8899759     0.21314468
          2.309     -1.3786166   -0.029029823     0.62031725      1.6758653      7.9111159      0.2137137
           2.31     -1.3778596    0.014863808     0.62072961      1.6551442      7.8509089     0.21390636
          2.311     -1.3768102  -0.0046301667     0.61988323       1.672751      7.8455224     0.21439479
          2.312     -1.3744062   -0.012767369     0.61656362      1.6536764       7.922042     0.21525008
          2.313     -1.3731013   -0.028424828     0.61496194      1.6652654      7.9774911     0.21575813
          2.314     -1.3732074   -0.032828919     0.61702386      1.6507778      7.8022379     0.21583036
          2.315     -1.3694672   0.0086703333     0.61007054      1.6704857      8.1224098      0.2171714
          2.316     -1.3665829    0.020303848     0.60773099      1.6680732      8.0986637     0.21830277
          2.317     -1.3647368    0.032834687     0.60474505      1.6614027       8.148991     0.21899069
          2.318     -1.3648776    0.017954722     0.60563934      1.6601964      8.1275688     0.21897566
          2.319     -1.3597513    -0.02054499     0.59595552      1.6694025      8.5286953     0.22079905
           2.32     -1.3619929   0.0032599747     0.60201071      1.6719498      8.2904814     0.22016647
          2.321     -1.3602862   -0.022330596     0.60087229      1.6704794      8.2369285     0.22073881
          2.322     -1.3583215     0.04135554     0.59828555      1.6592585      8.2589939     0.22150959
          2.323     -1.3562283   -0.056895343     0.59574205      1.6641767      8.3078832     0.22231942
          2.324     -1.3573437   0.0067766061     0.59852275      1.6580551       8.194664     0.22197919
          2.325     -1.3537115   0.0093681566     0.59412852      1.6556192      8.2632276     0.22332889
          2.326     -1.3544556    0.031327217     0.59563629      1.6465754      8.2274142     0.22297643
          2.327      -1.350023    0.033135136     0.58930988      1.6551385      8.3654278     0.22473248
          2.328      -1.348605    0.036144035     0.58597322      1.6423539      8.4780888     0.22538763
          2.329     -1.3477523    0.047346025     0.58692539      1.6450091      8.3953304     0.22557316
           2.33     -1.3431702  -0.0092863788     0.57892911      1.6560745      8.6574886     0.22739538
          2.331     -1.3441137  -0.0010851313     0.58154491      1.6495529      8.5415157     0.22706282
          2.332     -1.3412735  -0.0066023434     0.57746301      1.6536463      8.5895275     0.22815596
          2.333     -1.3412964   0.0079797727     0.58053446      1.6454184      8.4342012     0.22806247
          2.334     -1.3382821  -0.0060484242       0.573633      1.6426932      8.7123843     0.22923508
          2.335     -1.3355771    0.040714758     0.57078596      1.6358603      8.7061913      0.2302479
          2.336     -1.3358557  -0.0065413889     0.57277774      1.6279272      8.5612221     0.23033364
          2.337      -1.331358  -0.0081385657     0.56480529      1.6493732      8.8766122     0.23189657
          2.338     -1.3321038   -0.011663263     0.56814774      1.6309029      8.6189399     0.23172145
          2.339     -1.3295289    0.014394278     0.56344582      1.6243427      8.7410489     0.23259414
           2.34     -1.3275135    0.044070631     0.56151607      1.6293735      8.7892727     0.23339115
          2.341      -1.329665   -0.012599641     0.56725834      1.6161679      8.5242338     0.23261477
          2.342     -1.3245318   -0.031539672     0.55800348      1.6309039      8.8375087     0.23458416
          2.343     -1.3256563  -0.0092370253     0.56044608      1.6208926      8.7814822     0.23430309
          2.344     -1.3208232    -0.01132398     0.55354994      1.6179769      8.8522271     0.23602026
          2.345     -1.3185602   -0.010841177     0.54897041       1.634168      9.0792537     0.23689247
          2.346     -1.3187561     0.01469947     0.55322881      1.6077234      8.7038724      0.2368968
          2.347     -1.3162823   0.0081164343     0.54820915      1.6036293       8.851251     0.23796809
          2.348     -1.3133255   -0.019273515     0.54227362      1.6216374      9.1442042      0.2389678
          2.349     -1.3168524    0.028591576     0.55093279      1.6115266      8.8079551     0.23774889
           2.35     -1.3137465   0.0099072929     0.54645126      1.6066143      8.8216279     0.23892384
