              T              E              M            |M|             Cv              X              A
          2.266     -1.4305154     0.20246391     0.61131535      2.1801917      51.383592     0.19359581
          2.267     -1.4266378    0.022140333     0.59031969      2.3378312      73.486385     0.19500917
          2.268     -1.4252262    0.042357571     0.59294892       2.302293      67.257979     0.19552646
          2.269     -1.4224153    -0.24429354     0.58826817      2.2325092      62.606628     0.19657246
           2.27      -1.419871    -0.18066649     0.57867735      2.2855936      69.132423     0.19746869
          2.271     -1.4189532   -0.038045851     0.57732875      2.3328314      73.418298     0.19792368
          2.272     -1.4172254    -0.12615612     0.57992861      2.2426609      61.479763     0.19854559
          2.273     -1.4133571    -0.14615421     0.55822706      2.3977366      86.401355     0.19993272
          2.274     -1.4099374   -0.042378706     0.54810075       2.403423      85.547509     0.20125286
          2.275     -1.4077025    -0.13953776     0.54106113      2.4042725      88.145572     0.20204521
          2.276     -1.4058405  -0.0093868447      0.5405854      2.3232966      81.370057     0.20279761
          2.277     -1.4031557    -0.16474003     0.53182386       2.378852       86.26049     0.20376829
          2.278     -1.4002317   -0.010862839     0.51822256      2.3971382      96.899765     0.20493648
          2.279     -1.3979078     -0.0452308     0.51529878      2.3826864      91.530889     0.20570333
           2.28     -1.3951583     0.25312668     0.50679865      2.3758907      95.108235     0.20683444
          2.281     -1.3929505  -0.0083596465     0.50381421      2.3122237      91.116124     0.20758322
          2.282     -1.3917659   -0.063598271     0.49949095      2.3588843      95.578087     0.20819556
          2.283     -1.3893657   -0.027630082     0.49244974      2.3614778      99.951822     0.20901188
          2.284     -1.3897495   -0.017859949     0.50358357      2.3410228      91.169178     0.20884697
          2.285     -1.3840246   0.0030539848     0.47382891      2.3515498      102.47977     0.21096768
          2.286     -1.3861674    0.092700365     0.49930698      2.3150383      88.354957     0.21023827
          2.287     -1.3771626   0.0054775915     0.44480042      2.3075715      105.32185     0.21358499
          2.288     -1.3800134   -0.036961005     0.47239521      2.3165481      98.295287     0.21262731
          2.289     -1.3753893     0.16207114     0.45059773      2.3146346      104.28615     0.21420796
           2.29     -1.3758021    0.044626794      0.4644488      2.2768795      96.491777     0.21415291
          2.291     -1.3712382    0.065145126     0.44521947      2.2414004      97.125404     0.21585541
          2.292      -1.370208  -0.0095254141     0.44295351       2.233502      100.13768     0.21619518
          2.293     -1.3679357    0.025121674     0.43922122      2.3084588      100.11975     0.21712791
          2.294     -1.3642849    0.037495874     0.42271866      2.2149622        100.917     0.21850269
          2.295     -1.3616817   0.0061595969      0.4111449      2.1934617      104.07996     0.21948504
          2.296     -1.3606997    -0.05261861     0.41318924      2.2377509      105.70769     0.21986293
          2.297     -1.3563077     0.06323779     0.39476199      2.2004149      104.15658     0.22145716
          2.298     -1.3559071   -0.062922915     0.39815803      2.1917936      102.13422      0.2216966
          2.299     -1.3522772    0.025795877     0.38163096      2.1170922      102.79035     0.22302998
            2.3     -1.3503261    0.025259467     0.37830786      2.1259626      103.45627     0.22373036
          2.301      -1.348057    0.032821944     0.36949303      2.0822377      99.720343     0.22458976
          2.302     -1.3471333   -0.055678092      0.3729781      2.0720255      99.571976     0.22495247
          2.303     -1.3456457    -0.01697453     0.36996349      2.0787833      100.86839     0.22561615
          2.304     -1.3429331     0.06379993     0.36240876      2.0473386      99.405984     0.22660661
          2.305     -1.3400433    0.035704429     0.35046501       2.012579      96.077666     0.22770875
          2.306     -1.3414997   0.0046609987      0.3694239      2.0486521       96.73012     0.22718961
          2.307     -1.3363452   0.0055610174     0.33932835      1.9898801      98.089633     0.22910063
          2.308     -1.3349506    0.017624309     0.33927702      1.9509414      92.775966     0.22968158
          2.309     -1.3327061   -0.014432723     0.33190004      1.8861666      92.325733       0.230466
           2.31     -1.3312458   -0.043562154     0.33101882      1.9104818      90.683684     0.23105838
          2.311     -1.3296402   -0.020881319     0.33118162      1.9292791      90.794449     0.23172193
          2.312     -1.3254029   0.0086494369     0.30260419      1.8346758      88.004604     0.23333994
          2.313     -1.3256928   0.0025532614     0.31505981      1.8714821      90.316162     0.23324714
          2.314     -1.3235937   -0.017131697     0.30637943      1.8602146      89.410152     0.23409219
          2.315     -1.3207337   -0.013175946     0.29685378      1.8230922      87.975488     0.23513696
          2.316     -1.3214935   -0.018064858     0.30923284      1.8378186      86.535993     0.23492119
          2.317     -1.3173042   -0.014312163     0.28560283       1.777626      85.813675     0.23645181
          2.318      -1.317724    0.011498572     0.30081478       1.831858      85.110508     0.23638636
          2.319     -1.3146796   0.0010132506      0.2850083      1.7737622      83.208604     0.23749828
           2.32     -1.3127642  -0.0055738684     0.28829635      1.7556016      80.855328     0.23825547
          2.321     -1.3104462   -0.005499988     0.26880217       1.733108      77.154683     0.23914056
          2.322     -1.3088484  -0.0068278172     0.26901462      1.7066098      77.286708     0.23977022
          2.323     -1.3077426    0.010249018     0.27188204      1.6996426      76.008528     0.24016101
          2.324     -1.3061115    0.012325462     0.26705969      1.7130803      76.837914     0.24082269
          2.325     -1.3038672   -0.023372152      0.2614657      1.6317698      71.532355     0.24168563
          2.326     -1.3028437   -0.034916263     0.26430526      1.6777064       74.80267     0.24212636
          2.327     -1.3004984    0.026191368     0.25449948      1.6223477      71.046966     0.24299622
          2.328     -1.2985082    0.022866647     0.24343651      1.5979304      68.736275     0.24378469
          2.329     -1.2970608   -0.031103804     0.24405994      1.6012417      68.211822     0.24432148
           2.33     -1.2955644    0.013121152     0.24051036      1.5773239       67.57588     0.24490194
          2.331     -1.2939038   -0.012291444     0.24066231      1.5855319        66.3246     0.24559671
          2.332     -1.2921616   -0.010082564     0.23000052      1.5699315      65.263304      0.2462427
          2.333     -1.2903834   -0.010846339     0.22975828      1.5474131      62.491022     0.24692507
          2.334     -1.2890562   0.0048015884     0.22845801      1.5228722      61.048417      0.2474693
          2.335     -1.2881262   -0.016831525     0.22475723      1.5316905      62.351806     0.24784558
          2.336     -1.2861048   -0.009367352     0.22365252      1.5206687      61.057668     0.24864566
          2.337     -1.2850687  -0.0066604883     0.22563402      1.5061956      59.311623     0.24905383
          2.338     -1.2842461   -0.007491922     0.22179332      1.5194332      60.341477      0.2494084
          2.339     -1.2816114  -0.0040108845     0.21140547      1.4716022      56.757344      0.2504197
           2.34     -1.2803765  -0.0061839164     0.21391728      1.4859427      56.636636     0.25086536
          2.341     -1.2791205   -0.010223867     0.21467242      1.4790176      56.820028     0.25141165
          2.342     -1.2774934   0.0061787822     0.20695884      1.4570257      55.077742     0.25202995
          2.343     -1.2758599  -0.0031338791     0.20474311      1.4355212      53.382811     0.25270338
          2.344     -1.2745034   0.0076071787     0.20175021      1.4409407      53.404103     0.25322105
          2.345     -1.2733573   -0.010693932     0.20570492      1.4415603      52.627971     0.25366937
          2.346     -1.2714999  -0.0085642342     0.19634859      1.4231397      49.916094     0.25439737
          2.347     -1.2700879   0.0047321907     0.19496709      1.4277093      50.755057     0.25497009
          2.348     -1.2690701   -0.012670988     0.20006152       1.415294      50.612622     0.25538245
