              T              E              M            |M|             Cv              X              A
            2.2     -1.5464447    -0.14509094     0.78520072      1.4146705      4.3505959     0.15039973
          2.201     -1.5453924     0.10046995     0.78406917      1.4212766      4.8530014     0.15080516
          2.202     -1.5433159     0.21604597     0.77997529      1.4550029      5.8536907     0.15153862
          2.203     -1.5423698     0.18144058     0.78117882      1.4258119      4.9093397     0.15186949
          2.204     -1.5412749    -0.40067621     0.78059384      1.4076901      4.7858435     0.15238291
          2.205     -1.5398124    -0.11997647     0.77808724      1.4464991      5.4388262     0.15283187
          2.206     -1.5381504     0.68520859     0.77769179      1.4412108      4.9427513     0.15345392
          2.207     -1.5357207    0.071517862     0.77306843       1.477224      6.1019245     0.15433953
          2.208     -1.5356487    -0.11144972     0.77623034      1.4455783      4.8372316     0.15436189
          2.209     -1.5328463     0.16697046     0.76987162      1.4856029       6.545129     0.15539933
           2.21     -1.5323218     0.25177665     0.77208262      1.4678669      5.3301258     0.15565791
          2.211      -1.531154      0.7006589     0.77008478      1.4764062      6.0545256     0.15601121
          2.212     -1.5283538   -0.076534441     0.76528725       1.506289      6.9399879     0.15706831
          2.213      -1.528034     0.42246023     0.76725781      1.4990338      5.9122247     0.15716826
          2.214     -1.5259688    -0.48763407     0.76477826       1.501248      6.0565124      0.1579953
          2.215     -1.5236611     0.11822038     0.76119021      1.5399378      7.1627137     0.15881166
          2.216     -1.5232325     0.42601251     0.76148257      1.5360468      6.6208049     0.15898169
          2.217     -1.5220276     0.53808681     0.76128463      1.5289123      6.3591303     0.15943473
          2.218      -1.519256    -0.21941701     0.75567749      1.5755505      7.9290494     0.16044097
          2.219     -1.5177688     0.32674623     0.75440238      1.5708721       7.591238     0.16096546
           2.22     -1.5161833   -0.081581354      0.7536266      1.5730226      7.5365222     0.16153277
          2.221     -1.5150299     0.35538203     0.75073791      1.6158135      8.9591738     0.16203953
          2.222      -1.513627     0.11146538     0.75103196      1.5809341      7.7514837     0.16256107
          2.223      -1.510779    -0.18387113     0.74604199      1.6126291      8.7889379     0.16356258
          2.224      -1.509795     0.45780634     0.74601356      1.6141666      8.5040214     0.16397085
          2.225     -1.5105993     0.21965336      0.7499262      1.5597632      7.3752577     0.16367529
          2.226     -1.5065087    -0.19164228     0.74239485      1.6119958      8.6180775     0.16517962
          2.227     -1.5047176     0.24937612     0.73890782      1.6585724      9.8122621     0.16585549
          2.228     -1.5037797   -0.004399524     0.73980593      1.6181988      8.5639714     0.16616073
          2.229     -1.5014902  -0.0039467462     0.73550996      1.6531927        9.86712     0.16702085
           2.23     -1.5013603    -0.11871579     0.73810616      1.6231177      8.5902263     0.16712378
          2.231      -1.498549   -0.001454702     0.73190344      1.6876627      10.605883     0.16808992
          2.232     -1.4960245    0.013100764     0.72710839      1.7142667      11.274091     0.16906275
          2.233     -1.4957319   -0.016542836     0.72931775      1.6634692       10.60025     0.16916544
          2.234     -1.4940814     0.29356522     0.72711821      1.6919662      10.728853     0.16981821
          2.235     -1.4927774    -0.33437123     0.72548426      1.6824385       10.95188     0.17027539
          2.236     -1.4904138   -0.018412314     0.72284504      1.7044804      11.220914     0.17113493
          2.237      -1.487985    0.013450449     0.72094827      1.6919174      10.410651     0.17205987
          2.238     -1.4880727   -0.052317081     0.72216365      1.6863913      9.6811233     0.17205827
          2.239     -1.4865251     0.27953131     0.71942851       1.737774      11.514194     0.17261799
           2.24     -1.4840121    0.020704869     0.71492981      1.7379317      11.842024     0.17352264
          2.241     -1.4830555   -0.017639009     0.71316821      1.7588784      12.296788     0.17396181
          2.242     -1.4809158     0.18534249     0.71241566      1.7441573      11.552098     0.17478316
          2.243     -1.4778623   -0.079499495     0.70583751      1.7669916      13.009958     0.17582014
          2.244     -1.4776865    -0.18416274     0.70771764       1.768472       12.63764     0.17593257
          2.245     -1.4733829    -0.13142771     0.69843702      1.8112344      14.123869     0.17750514
          2.246     -1.4738314    -0.20248634     0.70382958      1.7666606      12.449518     0.17735383
          2.247      -1.473458    -0.14729929     0.70413173      1.7543212      12.320498     0.17758589
          2.248     -1.4708853     0.13276184     0.69987433       1.771636      13.129767     0.17843866
          2.249     -1.4688379   -0.024647313     0.69716426      1.7703997      12.981076     0.17924059
           2.25     -1.4654465     -0.2514182     0.68898529      1.8156663      14.891772     0.18057442
          2.251     -1.4636867    -0.15944445     0.68732279      1.8170979      14.877689     0.18113748
          2.252     -1.4628271    -0.19169379     0.68703143      1.8343385      14.733197     0.18151427
          2.253     -1.4593441     0.01287503     0.68017516       1.862366      15.841535     0.18276714
          2.254     -1.4604713   -0.023404102     0.68514258      1.8251391      14.588845     0.18237873
          2.255     -1.4559904   -0.070970569      0.6754557      1.9005481      16.531467     0.18407619
          2.256     -1.4553268     0.16542156     0.67531862      1.8772938      16.638303     0.18429186
          2.257     -1.4532012    -0.05781996     0.67332864      1.8760688      16.159626     0.18505702
          2.258     -1.4525654   -0.023893503     0.67401116      1.8589084      15.635168     0.18533882
          2.259     -1.4505083    -0.11252598     0.66958402      1.8944226      17.122131     0.18610737
           2.26     -1.4490907    0.024328013      0.6663004      1.9082136       17.72782     0.18666349
          2.261     -1.4454133   -0.099219867     0.66093182      1.9017957      17.874253     0.18801721
          2.262     -1.4440505  -0.0029813838     0.65968848      1.8949713      17.719634     0.18849974
          2.263     -1.4413048    0.069193596     0.65320537       1.942894       19.38343     0.18962258
          2.264     -1.4413132    -0.03635799     0.65705081      1.9048707      17.815325     0.18961989
          2.265     -1.4370747   -0.056348409     0.64545426      1.9533623      20.146669     0.19117398
          2.266     -1.4376332    -0.14191657     0.65166744        1.92164      18.215521     0.19089236
          2.267     -1.4338888    -0.10131192     0.64178296      1.9512143      20.126079     0.19230659
          2.268      -1.431405      0.1316277     0.63849996      1.9426908      20.254389     0.19321781
          2.269     -1.4300558     0.10288983     0.63585994      1.9620571      21.133783     0.19374806
           2.27     -1.4280176    0.035903803     0.63405255      1.9630511      20.520671     0.19448725
          2.271      -1.423882   -0.019539384     0.61984195      2.0177527      23.911857      0.1961674
          2.272     -1.4232206    0.050730789     0.62292811      2.0018198      22.829149     0.19628864
          2.273     -1.4205661    0.028280726     0.61795694      1.9973898      23.297983     0.19739012
          2.274     -1.4188217    0.018253886     0.61740044      1.9955955      22.476503     0.19803347
          2.275     -1.4170314   -0.074602696     0.61391223       2.017937      22.803742     0.19871022
          2.276     -1.4160736   -0.041043971     0.61491686      1.9987386      22.506207     0.19904191
          2.277      -1.413841   -0.055454105     0.60854776      2.0179097      23.729489     0.19998412
