              T              E              M            |M|             Cv              X              A
          2.266     -1.4288055    0.030499259     0.60751638      2.1823905      43.265782     0.19420521
          2.267       -1.42708    -0.11786653      0.6041326      2.1967091      44.279925     0.19483611
          2.268     -1.4286996     0.14719943     0.61713017       2.089107      37.018511     0.19432047
          2.269      -1.426374    0.045381398     0.61179416      2.1443563      38.506874     0.19513175
           2.27      -1.424292    0.041547381     0.60748604      2.1378816      40.108254     0.19591161
          2.271      -1.421221    -0.07864419     0.59840791      2.1771853      43.761116     0.19699346
          2.272     -1.4192378    -0.12159234     0.59464984      2.1419017      44.039159     0.19778015
          2.273     -1.4176076     0.12787456     0.59572936      2.1627439      41.357957     0.19843851
          2.274     -1.4120288   -0.032878618     0.56785032      2.2525816      54.561227      0.2005237
          2.275     -1.4116649   -0.077284072     0.57675068      2.1934361      46.942838     0.20061957
          2.276     -1.4087539   -0.049451814     0.56800188      2.2116363      49.828249     0.20167321
          2.277     -1.4079209   -0.088061013     0.57165839      2.1835066      46.446823     0.20204237
          2.278     -1.4047922    -0.10662329     0.56072427      2.2420927      51.325075      0.2031537
          2.279     -1.4046351    0.036048718     0.56587958      2.2173854      49.462843     0.20328562
           2.28      -1.399509    -0.03250993     0.54217444      2.2367359      57.580222     0.20515074
          2.281     -1.3977176   0.0019702935     0.54449558      2.1931904      54.073512     0.20595373
          2.282     -1.3947844    0.095781352     0.53557481      2.2279269      56.150104     0.20693672
          2.283     -1.3935868   -0.024133654      0.5355067      2.2329091      54.941928     0.20741979
          2.284     -1.3940077    0.042107484     0.54421082      2.1867718      50.164178     0.20732191
          2.285     -1.3899503    0.047597961     0.52730354      2.2107753       56.38967     0.20879851
          2.286     -1.3888302   0.0011547329     0.52688119      2.2132585      55.575047     0.20925792
          2.287     -1.3854358    0.029543518     0.51601808      2.2305692      57.934696     0.21051922
          2.288     -1.3831459   -0.073637192     0.51296535      2.2346503      58.030251     0.21137909
          2.289     -1.3802698   -0.046878974     0.50163994      2.2475643      61.103896     0.21249993
           2.29     -1.3794981    0.090208439     0.50526116      2.2122927      57.740761     0.21279724
          2.291     -1.3775818   -0.016904682     0.50227954      2.1805207      57.501413     0.21356319
          2.292     -1.3757999   -0.066937512     0.49554935      2.2000896      59.865237      0.2142157
          2.293     -1.3707924   0.0056131448     0.47808501      2.1885271      61.192034     0.21606515
