              T              E              M            |M|             Cv              X              A
           2.25     -1.4635835    -0.11214759     0.67562715      1.9720238      31.934421     0.18128572
          2.255     -1.4527977     -0.6410854     0.65195919      2.1306594      44.113762     0.18523643
           2.26     -1.4432012    0.035248701     0.63648414      2.1277451       45.16299     0.18886432
          2.265     -1.4313246     0.20805912       0.604486      2.2665583      64.199435     0.19322349
           2.27     -1.4220725    -0.25576693     0.59246106      2.2261919      57.839395     0.19673612
          2.275     -1.4095548    0.046000229     0.55380652      2.3453221      80.015747     0.20143674
           2.28     -1.3973713     0.13067984     0.52123936      2.3847712      88.011641     0.20604685
          2.285     -1.3866265    0.027889364     0.49466881      2.3078689      90.826752      0.2100322
           2.29     -1.3726934    0.063365721     0.44147348      2.3170225      105.71849     0.21528653
          2.295     -1.3609632    0.021100195     0.40717109      2.2046719       103.7812     0.21965297
            2.3     -1.3530639    0.082402401     0.39333691      2.1673487      103.06449     0.22278742
