              T              E              M            |M|             Cv              X              A
           2.25     -1.4622071    0.084080169     0.66960299      2.0540512      31.503357     0.18160347
          2.255     -1.4549153    -0.37396865     0.66547501      1.9978816      27.256951     0.18439164
           2.26     -1.4426521    -0.34704292     0.63631982      2.0934889      37.877857     0.18895358
          2.265      -1.432271    -0.16492636     0.61442236      2.2035473      44.395315     0.19285962
           2.27     -1.4216514    0.097100566     0.59955167      2.1647094      41.624613     0.19685858
          2.275      -1.412851    -0.20142028      0.5849391      2.1895808      44.086166      0.2001962
           2.28     -1.4002236   -0.038050207     0.54862418      2.2601413        54.5351      0.2049379
          2.285     -1.3883288    0.051384573     0.51995606      2.2092639      57.080656      0.2095129
           2.29     -1.3810088    0.087007177     0.51514039      2.1517106      52.407055     0.21222924
          2.295      -1.369553    0.022225773     0.48288643      2.2005242      61.854551     0.21652381
            2.3     -1.3585718   -0.016881024     0.45634455      2.1109588      61.791757     0.22068516
