              T              E              M            |M|             Cv              X              A
           2.25      -1.462761     0.67112159     0.67112159       2.067965      38.323615    0.013812648
          2.255     -1.4528012     0.41319031     0.64628823       2.249345      100.51479    0.017538387
           2.26     -1.4406408    -0.30991954     0.61025467      2.4477601      135.25489    0.022042425
          2.265     -1.4278835    0.032668862     0.56967666      2.5489963      168.62181    0.026797879
           2.27     -1.4161736     0.34717482     0.53583587      2.5854718      191.67114    0.031110323
          2.275     -1.4018641     0.28813752     0.46566759       2.697545      309.35695     0.03648275
           2.28      -1.392165     0.29019455      0.4501287      2.5823643      261.73435    0.040146224
          2.285     -1.3760697     0.10646737     0.34397781      2.4311448      341.78538    0.046145131
           2.29     -1.3628735    0.018289791      0.2666931      2.1108907      294.72133    0.051089923
          2.295      -1.353648    0.040433955     0.24609741      2.0795444      285.64212    0.054643849
            2.3     -1.3427771   -0.012602899     0.20956983      1.9045433      217.60929    0.058756898
