              T              E              M            |M|             Cv              X              A
           2.25     -1.4628784    -0.20317231     0.66952898      2.0750797      50.909043    -0.11683355
          2.255     -1.4521729     0.31532632     0.64481945      2.1908184      67.542077    -0.11277011
           2.26     -1.4425056       -0.62945     0.62945132       2.213497      63.540021    -0.10924664
          2.265     -1.4300157   -0.034525582     0.58593902      2.5177618      127.19965    -0.10445184
           2.27     -1.4165384    -0.28215659     0.53635379      2.6023538      176.72105   -0.099510794
          2.275     -1.4032145   -0.042936739     0.48900523      2.6226733      187.68466   -0.094545386
           2.28     -1.3936099    -0.15723365     0.47326992      2.5212058      182.10546   -0.090887585
          2.285      -1.378346   -0.060066529     0.39616359      2.4382538      218.18396   -0.085150338
           2.29     -1.3670322  -0.0056389975     0.36433076      2.2875579      191.65683   -0.080871767
          2.295     -1.3569406   -0.041690446     0.32703733      2.1910173      190.33323   -0.077039536
            2.3     -1.3458213    0.016803361     0.28625453      1.9672294       169.3892   -0.072864494
