              T              E              M            |M|             Cv              X              A
           2.25     -1.4626312     0.67015602     0.67015602      2.0647534      44.469562   -0.033134498
          2.255     -1.4531033     0.65101374     0.65101374      2.2254592      75.679655   -0.029549512
           2.26     -1.4401504    -0.60846114     0.60846485      2.4469196      162.53968   -0.024779104
          2.265     -1.4261398     0.53557288     0.53692516      2.7885875      383.01031   -0.019586856
           2.27     -1.4145588    -0.32165585     0.50466304      2.8344406      402.95785   -0.015228836
          2.275     -1.3997726     0.38235755      0.4238762      2.8142757      497.59501  -0.0097371272
           2.28     -1.3890259     0.13650988     0.38821693      2.5795413      466.24529  -0.0057029387
          2.285     -1.3759067     0.10471013     0.31440266       2.348937       455.5445  -0.0007839917
           2.29     -1.3639089    0.069869605     0.24523042      2.2300287      413.59231   0.0037415979
          2.295     -1.3530591     0.01615472     0.21010298      1.9756659      325.38176   0.0078714156
            2.3     -1.3430249   -0.050541852     0.17399747      1.8631246      250.35842    0.011705012
