              T              E              M            |M|             Cv              X              A
           2.25     -1.4654192   -0.026497223     0.68801931      1.8606041      15.603054     0.18050713
          2.255     -1.4573185    -0.19486143     0.68031082      1.8244008      14.969847     0.18348686
           2.26     -1.4446126   -0.054606611      0.6564812      1.9379291      18.605189     0.18827246
          2.265     -1.4359097    -0.11675122     0.64146995      1.9739889      21.357827     0.19156851
           2.27     -1.4276959   0.0092127563     0.63068182      1.9920623      21.845124     0.19468582
          2.275     -1.4176006     0.11775496     0.61446505       1.992355      23.033654     0.19856315
           2.28     -1.4088687    0.096973934     0.60586462       1.995179      22.638194     0.20180379
          2.285     -1.3969798    0.052000924     0.57803283      2.0269232      26.719216     0.20626498
           2.29     -1.3884622    0.033526452     0.56813562      1.9933054      25.925802     0.20946237
          2.295      -1.378734    0.017772381     0.54940435      2.0083688      27.907558     0.21313035
            2.3     -1.3672604   -0.030186768     0.52640431      1.9866108      28.710726     0.21754494
